ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	3,0,3	31,22,23	15,36,155	77,127,331	-2	-2
6	5,1,0	16,10,10	11,88,80	11,1,16	-2	-2
7	11,13,4	0,0,0	22,342,366	0,4,1	-2	-2
8	7,0,2	0,0,0	64,1003,1185	0,0,2	-2	-2
9	7,0,2	0,0,0	64,1003,1185	0,0,1	-2	-2
10	7,0,2	0,0,0	64,1007,1185	0,0,4	-2	-2
11	0,0,0	16,27,26	3,5,2	163,270,175	-2	-2
12	0,0,0	24,17,31	6,0,0	189,342,185	-2	-2
13	0,0,0	24,17,31	2,1,6	189,342,185	-2	-2
14	17,28,29	5,16,13	176,310,181	75,85,26	-2	-2
15	8,10,7	0,0,0	44,47,166	1,0,1	-2	-2
16	17,6,8	0,0,1	38,306,216	2,2,0	-2	-2
17	30,23,12	9,9,0	14,100,255	2,19,31	-2	-2
18	0,0,0	1,0,0	0,0,1	0,0,7	-2	-2
22	273,290,259	968,847,718	398,1182,988	1444,4283,2409	-2	-2
