ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	52,48,48	4,2,2	97,371,726	31,57,136	366	-1
6	4,2,5	4,0,0	2,0,1	20,19,42	83	-1
8	53,43,44	6,6,8	33,67,171	23,133,99	1355	-1
9	25,25,36	0,0,0	225,377,194	2,0,0	80	-1
14	0,0,0	1,0,0	5,3,12	2,0,9	121	-1
15	0,0,0	1,0,0	0,1,5	2,0,9	118	-1
16	1,1,0	5,0,0	0,9,7	12,30,45	39	-1
23	0,2,2	31,48,32	2,0,3	79,132,390	22	-1
24	0,5,2	1,0,0	5,21,34	1,0,4	4	-1
25	6,5,0	2,1,3	1,3,15	3,28,104	405	-1
27	503,518,416	0,0,0	709,2269,1732	0,0,1	1295	-1
29	4,1,0	0,0,0	32,104,71	4,9,2	13	-1
