ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	44,30,37	0,0,1	71,125,164	1,3,1	42	-1
3	27,9,11	0,0,0	40,65,68	0,4,0	42	-1
15	0,0,0	4,2,0	3,16,15	20,32,100	28	-1
17	7,1,3	3,2,1	30,64,238	9,36,65	57	-1
18	2,2,0	0,0,3	21,28,153	20,42,75	57	-1
21	0,0,0	12,20,16	0,0,2	52,173,563	85	-1
22	0,0,0	12,20,16	0,0,1	52,173,563	209	-1
24	91,38,35	0,0,0	74,103,98	6,0,0	162	-1
25	33,25,15	7,1,0	9,9,5	35,71,55	41	-1
26	83,44,33	7,1,0	19,27,10	35,71,55	45	-1
27	36,22,19	0,0,0	5,42,58	0,0,4	59	-1
28	1,0,0	18,10,10	0,57,76	2,23,35	86	-1
36	4,2,2	0,0,0	29,57,130	1,0,2	36	-1
37	86,66,73	4,2,2	170,673,1161	31,57,136	89	-1
38	28,29,35	0,0,0	45,161,242	2,0,0	99	-1
43	12,5,4	2,0,0	29,19,58	5,52,56	68	-1
44	16,10,10	9,10,7	11,1,16	30,46,94	68	-1
45	12,7,9	2,0,0	11,0,17	5,52,56	152	-1
46	5,1,0	9,10,7	11,88,80	30,46,94	92	-1
47	7,1,0	8,5,6	26,55,67	2,1,0	92	-1
51	3,4,2	0,0,0	2,32,38	1,17,19	85	-1
53	11,13,4	0,0,0	22,342,366	0,0,1	80	-1
54	14,17,6	0,0,0	23,357,382	0,4,1	80	-1
56	7,0,2	0,0,0	64,1007,1185	0,0,2	120	-1
57	21,17,8	0,0,0	88,1377,1585	0,0,4	120	-1
58	0,2,0	7,0,2	0,3,1	64,1003,1184	79	-1
68	65,109,69	4,0,0	45,176,180	0,0,0	131	-1
72	30,47,49	0,0,0	152,272,174	2,0,5	135	-1
73	0,0,0	1,0,0	3,5,2	0,0,0	135	-1
75	16,27,26	1,0,0	163,270,175	0,0,0	90	-1
76	46,74,75	0,0,0	313,542,344	3,5,2	90	-1
77	29,46,46	0,0,0	140,233,164	6,0,0	90	-1
78	23,17,31	0,0,0	192,347,187	6,0,0	110	-1
79	40,45,60	0,0,0	362,652,366	0,1,1	110	-1
80	28,33,44	0,0,0	264,426,210	3,0,0	167	-1
82	33,55,39	0,0,0	127,257,265	0,1,0	149	-1
83	9,4,1	19,26,14	94,411,330	25,11,15	38	-1
84	30,67,36	0,0,0	88,290,331	0,4,0	171	-1
87	0,0,0	14,8,11	5,3,8	176,488,801	186	-1
88	5,0,0	0,0,0	12,30,41	2,3,18	203	-1
89	5,0,0	14,8,11	17,33,48	176,488,801	203	-1
90	5,0,0	14,8,11	12,31,41	176,488,801	200	-1
91	5,0,0	0,0,0	16,30,37	2,3,18	84	-1
92	6,0,0	14,8,11	28,46,73	176,488,801	84	-1
93	0,1,0	1,0,0	2,0,7	2,2,6	81	-1
94	5,0,0	14,8,11	14,30,45	176,488,801	81	-1
98	2,0,0	7,6,6	3,0,7	43,47,151	121	-1
99	39,15,15	0,0,0	71,67,223	1,0,0	189	-1
100	32,9,9	0,0,0	28,20,79	1,0,0	151	-1
101	32,9,8	1,4,1	26,19,72	1,0,15	77	-1
104	0,0,0	25,26,38	0,1,1	118,1113,1966	60	-1
105	25,26,38	0,0,0	118,1113,1966	2,5,24	672	-1
106	1,2,0	0,0,0	5,18,37	2,5,24	667	-1
108	1,0,1	44,47,37	5,3,9	175,1172,1952	120	-1
109	1,0,1	1,0,0	3,3,5	0,0,0	54	-1
110	0,0,0	0,1,0	0,8,3	0,2,5	54	-1
111	1,0,2	44,47,37	3,14,10	175,1172,1952	54	-1
112	0,1,0	44,47,37	0,2,4	175,1172,1952	180	-1
113	31,48,32	0,0,0	79,132,390	2,0,2	126	-1
114	31,48,32	0,0,0	79,132,390	2,0,2	107	-1
115	38,31,30	0,0,0	76,159,229	0,0,4	264	-1
116	27,43,29	0,0,0	77,106,355	0,0,4	73	-1
117	69,74,60	0,0,0	152,289,606	0,0,4	241	-1
118	32,30,27	2,3,0	64,137,210	13,23,31	75	-1
119	33,25,25	2,3,0	60,125,181	13,23,31	70	-1
120	0,0,0	39,31,30	0,0,1	75,162,237	113	-1
121	30,23,12	0,0,0	14,106,259	0,0,1	135	-1
122	1,0,1	1,0,0	0,0,3	0,0,7	97	-1
123	0,0,0	2,1,3	0,0,1	3,28,104	97	-1
124	1,0,0	2,1,3	0,0,7	3,28,104	263	-1
125	14,10,4	0,0,0	5,26,58	0,6,4	462	-1
126	10,6,7	0,0,0	7,51,147	0,6,4	56	-1
129	13,5,6	9,9,0	4,25,13	2,19,30	151	-1
130	9,9,0	2,0,0	2,19,30	0,0,0	85	-1
131	1161,1109,935	1,0,2	2043,6493,3844	5,39,6	224	-1
132	7,11,6	193,262,217	6,21,26	599,2210,1436	86	-1
133	3,4,1	1,5,1	1,5,16	3,16,21	86	-1
134	461,550,474	0,0,0	991,3342,2410	0,0,1	59	-1
142	8,1,1	0,0,0	24,50,27	0,1,0	111	-1
143	12,2,1	0,0,0	52,145,96	0,1,0	125	-1
144	8,1,1	0,0,0	20,41,25	0,1,0	149	-1
145	3,1,2	12,2,0	23,26,48	17,39,54	62	-1
148	29,6,3	0,0,0	82,127,229	1,7,10	99	-1
149	20,5,5	0,0,0	88,114,223	1,0,0	99	-1
