ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000266173"	"STRADA"	chr17	-	63704483	63704908	63704483	63704582	63706634	63706739
1	"ENSG00000266173"	"STRADA"	chr17	-	63706634	63706739	63706634	63706730	63707246	63707418
2	"ENSG00000266173"	"STRADA"	chr17	-	63712452	63712545	63712452	63712539	63713405	63713527
3	"ENSG00000175866"	"BAIAP2"	chr17	+	81085582	81085725	81085653	81085725	81084831	81084893
4	"ENSG00000108788"	"MLX"	chr17	+	42568469	42568943	42568836	42568943	42567618	42567655
5	"ENSG00000108788"	"MLX"	chr17	+	42569981	42570183	42570096	42570183	42569506	42569606
6	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235
7	"ENSG00000109046"	"WSB1"	chr17	+	27301787	27301956	27301880	27301956	27294113	27294435
8	"ENSG00000109046"	"WSB1"	chr17	+	27307743	27309272	27309099	27309272	27306781	27306882
9	"ENSG00000062716"	"VMP1"	chr17	+	59764970	59765138	59765051	59765138	59738836	59738947
10	"ENSG00000008294"	"SPAG9"	chr17	-	50989676	50989872	50989676	50989827	50990449	50990668
11	"ENSG00000008294"	"SPAG9"	chr17	-	50998443	50998632	50998443	50998617	50999660	50999717
12	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82052374	82052459	82051499	82051524
13	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82052258	82052459	82051896	82051964
14	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82052377	82052459	82051896	82051964
15	"ENSG00000169727"	"GPS1"	chr17	+	82052258	82052459	82052377	82052459	82051896	82051964
16	"ENSG00000169727"	"GPS1"	chr17	+	82053233	82053366	82053273	82053366	82052377	82052459
17	"ENSG00000169727"	"GPS1"	chr17	+	82054497	82054542	82054509	82054542	82053867	82054049
18	"ENSG00000169727"	"GPS1"	chr17	+	82055161	82055222	82055164	82055222	82054897	82054975
19	"ENSG00000169727"	"GPS1"	chr17	+	82056839	82057470	82057052	82057470	82056628	82056766
20	"ENSG00000087157"	"PGS1"	chr17	+	78400676	78400855	78400734	78400855	78399347	78399537
21	"ENSG00000087157"	"PGS1"	chr17	+	78414878	78415027	78414951	78415027	78403567	78404089
22	"ENSG00000167699"	"GLOD4"	chr17	-	770043	770224	770043	770157	770420	770507
23	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022375	42022640	42022398	42022640	42021563	42021671
24	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022564	42022640	42022569	42022640	42022398	42022472
25	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759718	6759661	6759718	6758088	6758224
26	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759718	6759661	6759718	6758861	6758959
27	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64502069	64500548	64500773	64502161	64502223
28	"ENSG00000108654"	"DDX5"	chr17	-	64504676	64504880	64504676	64504842	64506075	64506289
29	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339938	32339812	32339924	32341203	32341284
30	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339962	32339812	32339924	32341203	32341284
31	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339962	32339812	32339938	32341203	32341284
