ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2	"ENSG00000266173"	"STRADA"	chr17	-	63704004	63704047	63702818	63703751	63704340	63704582
3	"ENSG00000266173"	"STRADA"	chr17	-	63704004	63704047	63702818	63703751	63704431	63704582
15	"ENSG00000266173"	"STRADA"	chr17	-	63723297	63723326	63714005	63714108	63726637	63726695
17	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63714005	63714108	63728333	63728384
24	"ENSG00000175866"	"BAIAP2"	chr17	+	81106744	81106907	81106077	81106146	81108474	81108509
25	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110955	81108474	81108509	81115769	81116225
26	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110959	81108474	81108509	81115769	81116224
36	"ENSG00000108788"	"MLX"	chr17	+	42567618	42567655	42567067	42567166	42568836	42568943
38	"ENSG00000108788"	"MLX"	chr17	+	42569203	42569303	42568076	42568943	42569506	42569606
52	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	9959201	9959255	10019776	10019897
53	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	9959201	9959255	10019776	10019897
54	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	9969676	9969762	10019776	10019897
55	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	9969676	9969762	10036433	10036537
56	"ENSG00000007237"	"GAS7"	chr17	-	10019776	10019897	9969676	9969762	10036433	10036662
57	"ENSG00000007237"	"GAS7"	chr17	-	10019776	10019897	9981803	9981884	10036433	10036662
58	"ENSG00000007237"	"GAS7"	chr17	-	10027019	10027099	10019776	10019897	10036433	10036537
59	"ENSG00000007237"	"GAS7"	chr17	-	10039741	10039795	10019776	10019897	10114441	10114553
68	"ENSG00000109046"	"WSB1"	chr17	+	27304779	27304911	27302434	27303635	27306781	27306858
73	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59731382	59731522	59738836	59738947
74	"ENSG00000062716"	"VMP1"	chr17	+	59737452	59737543	59707663	59707748	59764970	59765111
75	"ENSG00000062716"	"VMP1"	chr17	+	59737452	59737543	59731420	59731522	59738836	59738947
79	"ENSG00000062716"	"VMP1"	chr17	+	59738836	59738947	59737452	59737543	59764970	59765068
80	"ENSG00000062716"	"VMP1"	chr17	+	59764970	59765138	59738836	59738947	59773753	59773804
82	"ENSG00000008294"	"SPAG9"	chr17	-	50970706	50970856	50962173	50966387	50974770	50974947
83	"ENSG00000008294"	"SPAG9"	chr17	-	50975862	50975901	50974770	50974947	50977107	50977221
84	"ENSG00000008294"	"SPAG9"	chr17	-	50979745	50979917	50976599	50977221	50982523	50982672
121	"ENSG00000132530"	"XAF1"	chr17	+	6758088	6758224	6755447	6756110	6760405	6760601
129	"ENSG00000132530"	"XAF1"	chr17	+	6761885	6762037	6760405	6760601	6762154	6762193
130	"ENSG00000132530"	"XAF1"	chr17	+	6762154	6762240	6760405	6760601	6770642	6770969
131	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64500773	64498253	64500326	64502009	64502069
134	"ENSG00000108654"	"DDX5"	chr17	-	64502009	64502069	64500548	64500773	64502161	64502223
142	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339924	32338207	32338351	32341203	32341284
143	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339938	32338006	32338351	32341203	32341284
144	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339962	32338207	32338351	32341203	32341284
149	"ENSG00000133193"	"FAM104A"	chr17	-	73227164	73227264	73212677	73212740	73232085	73232367
