ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052442	82051907	82051964	82053273	82053366
1	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82051499	82051524	82053273	82053366
2	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82051896	82051964	82053273	82053366
3	"ENSG00000169727"	"GPS1"	chr17	+	82052258	82052459	82051896	82051964	82053273	82053366
4	"ENSG00000169727"	"GPS1"	chr17	+	82052374	82052459	82051874	82051964	82053273	82053366
5	"ENSG00000169727"	"GPS1"	chr17	+	82052377	82052459	82051896	82051964	82053273	82053366
6	"ENSG00000169727"	"GPS1"	chr17	+	82056469	82056550	82056285	82056391	82056628	82056766
7	"ENSG00000169727"	"GPS1"	chr17	+	82056839	82056974	82056628	82056766	82057052	82057117
8	"ENSG00000175866"	"BAIAP2"	chr17	+	81036862	81036961	81035150	81035308	81053667	81053743
9	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110955	81108474	81108509	81115769	81116225
10	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110959	81108474	81108509	81115769	81116224
11	"ENSG00000173786"	"CNP"	chr17	+	41967692	41967753	41966797	41966887	41968067	41968503
12	"ENSG00000173786"	"CNP"	chr17	+	41968067	41968740	41966794	41966887	41971891	41972031
13	"ENSG00000173786"	"CNP"	chr17	+	41968072	41968740	41966814	41966887	41971891	41972031
14	"ENSG00000108666"	"C17orf75"	chr17	-	32333416	32333520	32328440	32331978	32334468	32334605
15	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	9959201	9959255	9981803	9981884
16	"ENSG00000007237"	"GAS7"	chr17	-	10027019	10027099	10019776	10019897	10036433	10036537
17	"ENSG00000109046"	"WSB1"	chr17	+	27297186	27297308	27294079	27294435	27301787	27301956
18	"ENSG00000109046"	"WSB1"	chr17	+	27301766	27301956	27294075	27294435	27303366	27303635
19	"ENSG00000109046"	"WSB1"	chr17	+	27301787	27301956	27294092	27294435	27303366	27303411
20	"ENSG00000109046"	"WSB1"	chr17	+	27301787	27301956	27294092	27294435	27304779	27304911
21	"ENSG00000109046"	"WSB1"	chr17	+	27301817	27301956	27294086	27294435	27303366	27303422
22	"ENSG00000109046"	"WSB1"	chr17	+	27301880	27301956	27294113	27294435	27303366	27303635
23	"ENSG00000109046"	"WSB1"	chr17	+	27303366	27303635	27301766	27301956	27304779	27304903
24	"ENSG00000109046"	"WSB1"	chr17	+	27304779	27304911	27294102	27294435	27306781	27306858
25	"ENSG00000168256"	"NKIRAS2"	chr17	+	42021544	42021671	42020096	42020204	42022398	42022640
26	"ENSG00000168256"	"NKIRAS2"	chr17	+	42021563	42021671	42020077	42020204	42022398	42022444
27	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022375	42022640	42021563	42021671	42023653	42024220
28	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022398	42022472	42021563	42021671	42023653	42024833
29	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022398	42022640	42021544	42021671	42023653	42023841
30	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022564	42022640	42022398	42022472	42023653	42024265
31	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022569	42022640	42022398	42022472	42023653	42024265
32	"ENSG00000168256"	"NKIRAS2"	chr17	+	42023027	42023141	42022398	42022640	42023653	42023940
33	"ENSG00000132530"	"XAF1"	chr17	+	6758861	6758959	6758088	6758224	6759661	6759718
34	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759519	6758088	6758224	6759661	6759718
35	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759718	6758088	6758224	6760405	6760601
36	"ENSG00000132530"	"XAF1"	chr17	+	6759661	6759718	6758088	6758224	6760405	6760479
37	"ENSG00000132530"	"XAF1"	chr17	+	6759840	6759881	6758088	6758224	6760405	6760601
38	"ENSG00000132530"	"XAF1"	chr17	+	6760405	6760601	6758088	6758224	6762154	6762206
39	"ENSG00000132530"	"XAF1"	chr17	+	6761885	6762037	6760405	6760601	6762154	6762193
40	"ENSG00000132530"	"XAF1"	chr17	+	6762154	6762240	6760405	6760601	6770642	6770969
41	"ENSG00000167699"	"GLOD4"	chr17	-	770420	770507	770043	770157	771324	771379
42	"ENSG00000167699"	"GLOD4"	chr17	-	780617	780738	778422	778744	782165	782280
43	"ENSG00000167699"	"GLOD4"	chr17	-	780683	780738	778621	778661	782165	782255
44	"ENSG00000167699"	"GLOD4"	chr17	-	780683	780738	778694	778744	782165	782255
45	"ENSG00000167699"	"GLOD4"	chr17	-	781862	782043	778621	778744	782165	782267
46	"ENSG00000175662"	"TOM1L2"	chr17	-	17850892	17850952	17848822	17848859	17861475	17861551
47	"ENSG00000175662"	"TOM1L2"	chr17	-	17857768	17857855	17850892	17850952	17861475	17861551
48	"ENSG00000175662"	"TOM1L2"	chr17	-	17882704	17882863	17879626	17879743	17884633	17884768
49	"ENSG00000175662"	"TOM1L2"	chr17	-	17882704	17882863	17879626	17879743	17893660	17893810
50	"ENSG00000175662"	"TOM1L2"	chr17	-	17884633	17884768	17879626	17879743	17893660	17893810
51	"ENSG00000175662"	"TOM1L2"	chr17	-	17884633	17884768	17879626	17879743	17898595	17898674
52	"ENSG00000175662"	"TOM1L2"	chr17	-	17884633	17884768	17882704	17882863	17893660	17893810
53	"ENSG00000175662"	"TOM1L2"	chr17	-	17893660	17893810	17879626	17879743	17898595	17898674
54	"ENSG00000175662"	"TOM1L2"	chr17	-	17893660	17893810	17884633	17884768	17898595	17898674
55	"ENSG00000108788"	"MLX"	chr17	+	42568469	42568559	42567618	42567655	42568836	42568943
56	"ENSG00000108788"	"MLX"	chr17	+	42569203	42569303	42568076	42568943	42569506	42569606
57	"ENSG00000181409"	"AATK"	chr17	-	81126657	81126817	81126445	81126560	81127582	81127670
58	"ENSG00000181409"	"AATK"	chr17	-	81165681	81165814	81134367	81134501	81165937	81166077
59	"ENSG00000008294"	"SPAG9"	chr17	-	50975862	50975901	50974770	50974947	50977107	50977221
60	"ENSG00000008294"	"SPAG9"	chr17	-	50999475	50999487	50998443	50998617	50999660	50999717
61	"ENSG00000008294"	"SPAG9"	chr17	-	51031680	51031722	51021157	51021365	51041500	51041651
62	"ENSG00000062716"	"VMP1"	chr17	+	59731420	59731522	59707647	59707748	59737452	59737543
63	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59731382	59731522	59737452	59737474
64	"ENSG00000062716"	"VMP1"	chr17	+	59737452	59737543	59735337	59735473	59738836	59738947
