ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000266173"	"STRADA"	chr17	-	63714005	63714108	63726637	63726695	63713405	63713527	63728333	63728413
1	"ENSG00000266173"	"STRADA"	chr17	-	63717074	63717154	63723297	63723326	63714005	63714108	63726637	63726695
2	"ENSG00000266173"	"STRADA"	chr17	-	63717074	63717154	63726637	63726695	63714005	63714108	63728333	63728413
3	"ENSG00000175662"	"TOM1L2"	chr17	-	17882704	17882863	17884633	17884768	17879626	17879743	17893660	17893810
4	"ENSG00000175662"	"TOM1L2"	chr17	-	17884633	17884768	17893660	17893810	17879626	17879743	17898595	17898674
5	"ENSG00000175662"	"TOM1L2"	chr17	-	17884633	17884768	17893660	17893810	17882704	17882863	17898595	17898674
6	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090397	76091142	76091235	76089174	76089320	76094413	76094581
7	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	9981803	9981884	9959201	9959255	10019776	10019897
8	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	10019776	10019897	9959201	9959255	10036433	10036747
9	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	10019776	10019897	9959201	9959255	10036433	10036662
10	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	10019776	10019897	9969676	9969762	10036433	10036747
11	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59737452	59737543	59731420	59731522	59738836	59738947
12	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59738836	59738947	59731420	59731522	59764970	59765138
13	"ENSG00000062716"	"VMP1"	chr17	+	59737452	59737543	59738836	59738947	59731420	59731522	59764970	59765111
14	"ENSG00000062716"	"VMP1"	chr17	+	59738836	59738947	59764970	59765138	59737452	59737543	59773753	59773881
15	"ENSG00000087157"	"PGS1"	chr17	+	78392475	78392665	78396307	78396385	78378648	78378808	78398251	78398351
16	"ENSG00000167699"	"GLOD4"	chr17	-	778621	778661	778694	778744	776867	776988	780683	780738
17	"ENSG00000132530"	"XAF1"	chr17	+	6758088	6758224	6760405	6760601	6755447	6756110	6762154	6762240
18	"ENSG00000132530"	"XAF1"	chr17	+	6758861	6758959	6759255	6759519	6758088	6758224	6759661	6759718
19	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759718	6759840	6759881	6758088	6758224	6760405	6760601
20	"ENSG00000132530"	"XAF1"	chr17	+	6759661	6759718	6759840	6759881	6758088	6758224	6760405	6760601
21	"ENSG00000132530"	"XAF1"	chr17	+	6760405	6760601	6762154	6762240	6758088	6758224	6770642	6770984
22	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64500773	64502009	64502069	64498253	64500326	64502161	64502223
23	"ENSG00000108654"	"DDX5"	chr17	-	64504221	64504318	64504676	64504842	64503982	64504116	64506075	64506289
